NORAD_ID,Epoch_Time_UTC,Inclination_deg,RA_of_Asc_Node_deg,Eccentricity_e,Arg_of_Perigee_deg,Mean_Anomaly_deg,BSTAR,Mean_Motion_rev_day,TLE_Line_1,TLE_Line_2
43111,08:15.2,97.433,35.7026,0.0001125,187.1053,173.0166,8.49E-05,15.19361073,1 43111U 18004A   25337.92239861  .00001727  00000-0  84889-4 0  9991,2 43111  97.4330  35.7026 0001125 187.1053 173.0166 15.19361073437683
43111,08:15.2,97.433,35.7026,0.0001125,187.1053,173.0166,8.49E-05,15.19361073,1 43111U 18004A   25337.92239861  .00001727  00000-0  84889-4 0  9991,2 43111  97.4330  35.7026 0001125 187.1053 173.0166 15.19361073437683
43111,08:15.2,97.433,35.7026,0.0001125,187.1053,173.0166,8.49E-05,15.19361073,1 43111U 18004A   25337.92239861  .00001727  00000-0  84889-4 0  9991,2 43111  97.4330  35.7026 0001125 187.1053 173.0166 15.19361073437683
43111,27:36.1,97.4331,35.9615,0.0001169,188.9245,171.1969,8.53E-05,15.19364675,1 43111U 18004A   25338.18583449  .00001737  00000-0  85345-4 0  9993,2 43111  97.4331  35.9615 0001169 188.9245 171.1969 15.19364675437726
43111,27:36.1,97.4331,35.9615,0.0001169,188.9245,171.1969,8.53E-05,15.19364675,1 43111U 18004A   25338.18583449  .00001737  00000-0  85345-4 0  9993,2 43111  97.4331  35.9615 0001169 188.9245 171.1969 15.19364675437726
43111,37:16.4,97.4332,36.0913,0.000122,185.7698,174.3523,8.84E-05,15.19374717,1 43111U 18004A   25338.31755141  .00001802  00000-0  88432-4 0  9991,2 43111  97.4332  36.0913 0001220 185.7698 174.3523 15.19374717437746
43111,12:06.6,97.434,36.1563,0.0001135,188.6397,171.4819,8.86E-05,15.19377761,1 43111U 18004A   25338.38340993  .00001806  00000-0  88572-4 0  9992,2 43111  97.4340  36.1563 0001135 188.6397 171.4819 15.19377761437759
43111,06:22.0,97.4333,36.4803,3.73E-05,127.8571,232.2697,0.00083912,15.19154935,1 43111U 18004A   25338.71275470  .00017598  00000-0  83912-3 0  9993,2 43111  97.4333  36.4803 0000373 127.8571 232.2697 15.19154935437805
43111,41:13.0,97.4333,36.5452,3.98E-05,128.3717,231.7554,0.00085151,15.19156529,1 43111U 18004A   25338.77862297  .00017860  00000-0  85151-3 0  9997,2 43111  97.4333  36.5452 0000398 128.3717 231.7554 15.19156529437819
43111,16:04.1,97.4333,36.6098,3.87E-05,124.5835,235.5436,0.00086722,15.19157461,1 43111U 18004A   25338.84449142  .00018192  00000-0  86722-3 0  9999,2 43111  97.4333  36.6098 0000387 124.5835 235.5436 15.19157461437821
